geo\time,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,
EU (27 countries - from 2020),100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,,100,
EU (28 countries),101.7,,101.7,,101.3,,101.3,,100.9,,101,,100.6,,100.5,,100.3,,100.2,,100.3,,100,,99.9,,99.8,
Euro area (changing composition),116.9,,116.5,,115.6,,114.9,,113.9,,112.9,,112.2,,112.1,,112.3,,112,,111.2,,111.2,,110.7,,110,
Euro area - 19 countries  (from 2015),114.1,,113.8,,113.3,,112.8,,112.6,,111.8,,111.3,,111.2,,111.4,,111.5,,111.2,,111.2,,110.7,,110,
Belgium,142.7,,139.8,,137.9,,136.1,,136.8,,138,,133.9,,134.9,,134.3,,135.7,,136.6,,136.6,,134.6,,133.4,
Bulgaria,37.6,,37.5,,38.7,,39.5,,40,,41.7,,42.6,,43.8,(p),42.6,(p),43.8,(p),44.3,(p),45.7,(p),45.8,(p),46.9,(p)
Czechia,69.4,,70.2,,73.2,,73.7,,74.3,,71.6,,71.2,,70.7,,71.3,,73,,74.5,,73.7,,74.6,,75.5,
Denmark,126.8,,126.7,,126.1,,127.8,,129,,135.2,,132.5,,132.6,,132.6,,133.7,,133.6,,133,,134.6,,136.6,
Germany,128.9,,126.4,,125.9,,124.7,,122.9,,122.3,,123.6,,122.8,,122.3,,124.1,,123,,124.1,,123.4,,122.4,
Estonia,50.7,,52.4,,57.2,,57.4,,60.9,,63.5,,63,,64.5,,64.7,,66.4,,64,,65.1,,65.8,,70,
Ireland,126,,126.7,,127.3,,120.2,,124.3,,137,,137.8,(b),139.3,,134.2,,136.4,,174.3,,169.4,,173.1,,177.2,
Greece,78.3,,80.9,,79.1,,79.3,,78.6,,74,,69.7,(p),69,(p),69.3,(p),69.9,(p),67.3,(p),65.7,(p),64,(p),63.8,(p)
Spain,98.2,,100.3,,100.7,,100.1,,102.3,,99.7,,98.2,,99.9,,100.1,,100,,98.7,,98,,97.7,(p),95.7,(p)
France,132.2,,132.5,,130.1,,128.2,,128,,126.9,,125.5,,123.3,,125.2,,125.1,,124.6,,124.2,,124.7,(p),125.2,(p)
Croatia,57.9,(p),59.7,(p),61.3,(p),61.8,(d),59.2,(d),57.8,(d),60.1,(d),62,(d),63,(d),61.2,(d),63.3,(d),64.6,(d),64.4,(d),64.9,(d)
Italy,108.9,,107.7,,107.2,,108.3,,108.2,,106.4,,105.8,,105.4,,104.2,,102.7,,101.5,,102.9,,101.9,,100.4,
Cyprus,83.8,,85.2,,85.9,,86.3,,86,,83.1,,80.8,,79.1,,77.7,,75.7,,76.2,,76.4,,75.5,,75.8,(p)
Latvia,46.4,,46.2,,49.4,,47.6,,48.1,,50.8,,52.3,,53.7,,53.1,,54.6,,55.4,,55.7,,57.7,,59,
Lithuania,50,,52.5,,55.5,,57.1,,54.8,,58.2,(b),62.3,,63.4,,64.6,,65.2,,62.8,,61.3,,65.1,,65.9,
Luxembourg,184.2,,192.2,,190.8,,183.7,,179.1,,178.9,,182.4,,177.3,,178.4,,184.3,,183.4,,184.4,,178.8,,176.7,
Hungary,63,,63.4,,64.2,,67.9,,69.4,,69.5,,70.7,,69.1,,69,,66.8,,66.5,,62.8,,63.3,,65.3,
Malta,76.2,,73.4,,74.1,,73.1,,72.3,,75,,74,,73.9,,73.8,,76.8,,80.3,,79.3,,81.3,,80,
Netherlands,142.1,,142.2,,141.8,,142.3,,137.5,,135,,132.7,,132.4,,133.5,,130.2,,129.4,,126.1,,125.7,(p),125.5,(p)
Austria,117.5,,117.7,,116.8,,116.3,,117.5,,115.7,,115,,117.8,,117.6,,117.8,,119.5,,119.4,,118.1,,117.5,
Poland,50.2,,49.5,,50.3,,50.9,,53,,57.1,(b),59.1,,59.9,,59.5,,59.1,,59.5,,59.1,,60.6,,62.8,
Portugal,69,,70.3,,69.6,,69.6,,70.1,,70.2,,67.8,,68.2,,70.2,,69.1,,68.2,,67.8,,66.3,,65,(p)
Romania,33,,36.9,,40.5,,47.6,,48.5,,48.1,,49.1,,50.5,,50.9,,51.7,,53.7,,57.2,,59.8,,62.1,(p)
Slovenia,83.7,,84.7,,85.1,,84.9,,79.6,,79.1,,80.9,,80.7,,79.8,,79.2,,78.2,,80,,82.2,,83.5,
Slovakia,66.9,,69.4,,72.3,,75.2,,74.2,,77.8,,76.2,,76.8,,77.7,,78.3,,77.9,,76.8,,76.2,,77.2,
Finland,115.4,,114.5,,118.4,,118.7,,115.9,,114.9,,114.5,,111.4,,110,,109.4,,109.5,,110.1,,110.9,,110,
Sweden,122,,124,,125.5,,123.9,,121.5,,120.7,,119.7,,119.4,,116.8,,116,,117.5,,113.6,,113.3,,113.7,
United Kingdom,113.2,,112.7,,110.1,,110.2,,106.7,,107.6,,104.5,,103.3,,101.9,,101,,101.8,,99.7,,98.8,,98.2,
Iceland,:,,:,,:,,113,(p),125,(p),115.3,(p),111.8,(p),111.3,(p),110.4,(p),111.3,(p),114.3,(p),116.5,(p),115.9,(p),118.5,(p)
Liechtenstein,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,
Norway,187.6,,194.9,,186.3,,193.7,,176.7,,179.1,,182.3,,185.7,,183.3,,176.4,,158.6,,148,,152.4,,156.3,
Switzerland,119.2,,122.8,,128.1,,129.3,,127.3,(e),128.3,,128.2,,128.7,,129.3,,130.2,,129.8,,126.5,,126.1,,127.3,
Montenegro,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,
North Macedonia,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,
Albania,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,
Serbia,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,
Turkey,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,
